pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ALTERNATIVE_PATHWAY	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
BIOCARTA_CLASSIC_PATHWAY	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
BIOCARTA_COMP_PATHWAY	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
BIOCARTA_EXTRINSIC_PATHWAY	0.750153217568948	0.807857311228098	0.0189412859890119	0.523771884030584	0.808074141430652	2	F3
BIOCARTA_INTRINSIC_PATHWAY	0.06367472190257	0.112050396860523	0.0779134661483548	-0.825891486164861	-1.41409068827844	3	F5 F8
BIOCARTA_LAIR_PATHWAY	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
BIOCARTA_LECTIN_PATHWAY	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.265044078190878	0.319880784023473	0.0360192234752379	-0.555310052869307	-1.18837645080315	6	F5 C3 C2 F8
KEGG_LEISHMANIA_INFECTION	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
NABA_ECM_REGULATORS	0.840758108636186	0.865486288301956	0.0166021549640912	-0.580822436990714	-0.773610372795969	1	F12
NABA_MATRISOME	0.840758108636186	0.865486288301956	0.0166021549640912	-0.580822436990714	-0.773610372795969	1	F12
NABA_MATRISOME_ASSOCIATED	0.840758108636186	0.865486288301956	0.0166021549640912	-0.580822436990714	-0.773610372795969	1	F12
PID_ERA_GENOMIC_PATHWAY	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
PID_ERB_GENOMIC_PATHWAY	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
PID_INTEGRIN2_PATHWAY	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_ACTIVATION_OF_C3_AND_C5	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_COMPLEMENT_CASCADE	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	0.239937475576397	0.299921844470496	0.0385679879229386	-0.879287473943529	-1.17114261982816	1	F8
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	0.239937475576397	0.299921844470496	0.0385679879229386	-0.879287473943529	-1.17114261982816	1	F8
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS_	0.396122968474643	0.462143463220416	0.0286527576993215	-0.717258237563321	-1.08736186383668	2	F8
REACTOME_DISEASE	0.0832374376678174	0.112050396860523	0.0677730323030541	-0.8075984935072	-1.38276944207203	3	C3 F8
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE_	0.688809723386421	0.753385634953898	0.0206199462847233	0.424239081719606	0.804620290784013	4	F3
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.239937475576397	0.299921844470496	0.0385679879229386	-0.879287473943529	-1.17114261982816	1	F8
REACTOME_GPCR_LIGAND_BINDING	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_HEMOSTASIS	0.688809723386421	0.753385634953898	0.0206199462847233	0.424239081719606	0.804620290784013	4	F3
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_INFECTIOUS_DISEASE	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
REACTOME_INNATE_IMMUNE_SYSTEM	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.396122968474643	0.462143463220416	0.0286527576993215	-0.717258237563321	-1.08736186383668	2	F8
REACTOME_LEISHMANIA_INFECTION	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_MEMBRANE_TRAFFICKING	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_NEUTROPHIL_DEGRANULATION	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION_	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.0239739163789797	0.112050396860523	0.128489714653408	-0.879398572240824	-1.50570547477816	3	F5 C3 F8
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS_	0.0097904836498923	0.0856667319365577	0.204544131818546	-0.963044851547694	-1.45997381402647	2	F5 C3
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_SIGNALING_BY_GPCR	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
REACTOME_SIGNALING_BY_NTRKS	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.0820442529860975	0.112050396860523	0.0690309620756281	-0.87934301958307	-1.33308202632	2	F5 F8
WP_ALLOGRAFT_REJECTION	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
WP_BLOOD_CLOTTING_CASCADE	0.688809723386421	0.753385634953898	0.0206199462847233	0.424239081719606	0.804620290784013	4	F3
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
WP_COMPLEMENT_ACTIVATION	0.0497356569414529	0.112050396860523	0.0894560863550852	-0.908843967150979	-1.37780539602485	2	C3 C2
WP_COMPLEMENT_AND_COAGULATION_CASCADES	0.265044078190878	0.319880784023473	0.0360192234752379	-0.555310052869307	-1.18837645080315	6	F5 C3 C2 F8
WP_H19_ACTION_RBE2F1_SIGNALING_AND_CDKBETACATENIN_ACTIVITY	0.958845208845209	0.958845208845209	0.0153744275385795	0.52327711452214	0.696664508052556	1	H19
WP_HUMAN_COMPLEMENT_SYSTEM	0.0496739547372459	0.112050396860523	0.0885639937858774	-0.840140952305643	-1.43848861187998	3	C3 C2
WP_LNCRNA_INVOLVEMENT_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER	0.958845208845209	0.958845208845209	0.0153744275385795	0.52327711452214	0.696664508052556	1	H19
WP_MACROPHAGE_MARKERS	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
WP_MESODERMAL_COMMITMENT_PATHWAY	0.439624853458382	0.504487536755521	0.0267793201296367	-0.776577600909608	-1.03434104656375	1	C9orf72
WP_OXIDATIVE_DAMAGE	0.181906994919891	0.240254521592308	0.0450411129911139	-0.908786558019077	-1.21043310858245	1	C2
WP_TYROBP_CAUSAL_NETWORK	0.0748339194998046	0.112050396860523	0.0723419514602353	-0.962984018697492	-1.28261991661496	1	C3
WP_VEGFAVEGFR2_SIGNALING_PATHWAY	0.0088042588042588	0.0856667319365577	0.220823464091113	0.996336302191902	1.32647142509814	1	F3
