pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ALTERNATIVE_PATHWAY	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
BIOCARTA_CLASSIC_PATHWAY	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
BIOCARTA_COMP_PATHWAY	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
BIOCARTA_EXTRINSIC_PATHWAY	0.791764705882353	0.827216856892011	0.0175323372914981	-0.533780604012989	-0.79808461681939	2	F5
BIOCARTA_INTRINSIC_PATHWAY	0.169481539670071	0.28349376114082	0.0469580095971153	-0.762286979707571	-1.27015551109551	3	F5 F8
BIOCARTA_LAIR_PATHWAY	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
BIOCARTA_LECTIN_PATHWAY	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.200344761539935	0.28349376114082	0.042221575978431	-0.61487813843159	-1.26763972860603	6	C3 F5
KEGG_LEISHMANIA_INFECTION	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
NABA_ECM_REGULATORS	0.952494533889883	0.952494533889883	0.015041983674567	-0.525175755272658	-0.697730019870924	1	F12
NABA_MATRISOME	0.952494533889883	0.952494533889883	0.015041983674567	-0.525175755272658	-0.697730019870924	1	F12
NABA_MATRISOME_ASSOCIATED	0.952494533889883	0.952494533889883	0.015041983674567	-0.525175755272658	-0.697730019870924	1	F12
PID_ERA_GENOMIC_PATHWAY	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
PID_ERB_GENOMIC_PATHWAY	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
PID_INTEGRIN2_PATHWAY	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_ACTIVATION_OF_C3_AND_C5	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_COMPLEMENT_CASCADE	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	0.40190816935003	0.485061583698312	0.0286616399503485	-0.804040787890303	-1.06822028488439	1	F8
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	0.40190816935003	0.485061583698312	0.0286616399503485	-0.804040787890303	-1.06822028488439	1	F8
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS_	0.492745098039216	0.574869281045752	0.0249054022661956	-0.681155832621021	-1.01843339301705	2	F8
REACTOME_DISEASE	0.150628436763551	0.28349376114082	0.050072872271063	-0.774354228768295	-1.2902624830185	3	C3 F8
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE_	0.701243201243201	0.755184985954217	0.0191966110466459	-0.451758203768153	-0.821562695133372	4	F5 F8
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.40190816935003	0.485061583698312	0.0286616399503485	-0.804040787890303	-1.06822028488439	1	F8
REACTOME_GPCR_LIGAND_BINDING	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_HEMOSTASIS	0.701243201243201	0.755184985954217	0.0191966110466459	-0.451758203768153	-0.821562695133372	4	F5 F8
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_INFECTIOUS_DISEASE	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
REACTOME_INNATE_IMMUNE_SYSTEM	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.492745098039216	0.574869281045752	0.0249054022661956	-0.681155832621021	-1.01843339301705	2	F8
REACTOME_LEISHMANIA_INFECTION	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_MEMBRANE_TRAFFICKING	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_NEUTROPHIL_DEGRANULATION	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION_	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.102710133542812	0.211462039646966	0.0614439060918817	-0.807250514145994	-1.34507569546912	3	C3 F5
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS_	0.016078431372549	0.0602928509905254	0.159153456855406	-0.954649100582721	-1.42734815747819	2	C3 F5
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_SIGNALING_BY_GPCR	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
REACTOME_SIGNALING_BY_NTRKS	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.222745098039216	0.28349376114082	0.0403096907892751	-0.804091715226755	-1.20224156443642	2	F5 F8
WP_ALLOGRAFT_REJECTION	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
WP_BLOOD_CLOTTING_CASCADE	0.701243201243201	0.755184985954217	0.0191966110466459	-0.451758203768153	-0.821562695133372	4	F5 F8
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
WP_COMPLEMENT_ACTIVATION	0.0303921568627451	0.0664828431372549	0.115167141009445	-0.93042777014076	-1.39113351970511	2	C3
WP_COMPLEMENT_AND_COAGULATION_CASCADES	0.200344761539935	0.28349376114082	0.042221575978431	-0.61487813843159	-1.26763972860603	6	C3 F5
WP_H19_ACTION_RBE2F1_SIGNALING_AND_CDKBETACATENIN_ACTIVITY	0.64957264957265	0.733388475323959	0.0207090505660619	-0.678130343910317	-0.900940101635068	1	H19
WP_HUMAN_COMPLEMENT_SYSTEM	0.0190494893951296	0.0606120117117761	0.146151534304949	-0.897039154132697	-1.49468540801679	3	C3
WP_LNCRNA_INVOLVEMENT_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER	0.64957264957265	0.733388475323959	0.0207090505660619	-0.678130343910317	-0.900940101635068	1	H19
WP_MACROPHAGE_MARKERS	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
WP_MESODERMAL_COMMITMENT_PATHWAY	0.0436531884932609	0.0925976725614625	0.0969823177419894	0.97916270821458	1.3102408950295	1	C9orf72
WP_OXIDATIVE_DAMAGE	0.75960571313619	0.805642423023232	0.0185244840418459	0.616948508455254	0.825553464326158	1	C2
WP_TYROBP_CAUSAL_NETWORK	0.0180878552971576	0.0602928509905254	0.150964206987421	-0.990816391158401	-1.31636377603241	1	C3
WP_VEGFAVEGFR2_SIGNALING_PATHWAY	0.176825588412794	0.28349376114082	0.0464876729628047	0.908480587750966	1.21565946948921	1	F3
