pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ALTERNATIVE_PATHWAY	0.0184614769181535	0.0601264803461567	0.0472801515542882	-0.990816391158401	-1.32139354854771	1	C3
BIOCARTA_CLASSIC_PATHWAY	0.0344491904241581	0.0753576040528459	0.0343491008359646	-0.93042777014076	-1.39543008715149	2	C3
BIOCARTA_COMP_PATHWAY	0.0344491904241581	0.0753576040528459	0.0343491008359646	-0.93042777014076	-1.39543008715149	2	C3
BIOCARTA_EXTRINSIC_PATHWAY	0.783987285189232	0.819091193481287	0.00565072639987957	-0.533780604012989	-0.800549530744269	2	F5
BIOCARTA_INTRINSIC_PATHWAY	0.170327939844888	0.282864805801132	0.0148235482249381	-0.762286979707571	-1.27178773731943	3	F5 F8
BIOCARTA_LAIR_PATHWAY	0.0184614769181535	0.0601264803461567	0.0472801515542882	-0.990816391158401	-1.32139354854771	1	C3
BIOCARTA_LECTIN_PATHWAY	0.0344491904241581	0.0753576040528459	0.0343491008359646	-0.93042777014076	-1.39543008715149	2	C3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.201264714466388	0.282864805801132	0.0134317251107632	-0.61487813843159	-1.26259897221416	6	C3 F5
KEGG_LEISHMANIA_INFECTION	0.0184614769181535	0.0601264803461567	0.0472801515542882	-0.990816391158401	-1.32139354854771	1	C3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.0344491904241581	0.0753576040528459	0.0343491008359646	-0.93042777014076	-1.39543008715149	2	C3
NABA_ECM_REGULATORS	0.949255940475238	0.949255940475238	0.004800315137789	-0.525175755272658	-0.700396017933879	1	F12
NABA_MATRISOME	0.949255940475238	0.949255940475238	0.004800315137789	-0.525175755272658	-0.700396017933879	1	F12
NABA_MATRISOME_ASSOCIATED	0.949255940475238	0.949255940475238	0.004800315137789	-0.525175755272658	-0.700396017933879	1	F12
PID_ERA_GENOMIC_PATHWAY	0.0184614769181535	0.0601264803461567	0.0472801515542882	-0.990816391158401	-1.32139354854771	1	C3
PID_ERB_GENOMIC_PATHWAY	0.0184614769181535	0.0601264803461567	0.0472801515542882	-0.990816391158401	-1.32139354854771	1	C3
PID_INTEGRIN2_PATHWAY	0.0184614769181535	0.0601264803461567	0.0472801515542882	-0.990816391158401	-1.32139354854771	1	C3
