pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ALTERNATIVE_PATHWAY	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
BIOCARTA_CLASSIC_PATHWAY	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
BIOCARTA_COMP_PATHWAY	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
BIOCARTA_EXTRINSIC_PATHWAY	0.683489927620094	0.912243074173369	0.00623854830270888	-0.578650122637064	-0.88256931805696	2	F5
BIOCARTA_INTRINSIC_PATHWAY	0.247390517274583	0.787151645873673	0.0118834925973164	-0.703208255144285	-1.20633720035242	3	F5
BIOCARTA_LAIR_PATHWAY	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
BIOCARTA_LECTIN_PATHWAY	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.652127778398302	0.912243074173369	0.0062130767503209	-0.396487048846505	-0.850539849899571	6	F5
KEGG_LEISHMANIA_INFECTION	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
NABA_ECM_REGULATORS	0.514228974282594	0.912243074173369	0.00771805182883483	-0.742153180110779	-0.990211406779291	1	F12
NABA_MATRISOME	0.514228974282594	0.912243074173369	0.00771805182883483	-0.742153180110779	-0.990211406779291	1	F12
NABA_MATRISOME_ASSOCIATED	0.514228974282594	0.912243074173369	0.00771805182883483	-0.742153180110779	-0.990211406779291	1	F12
PID_ERA_GENOMIC_PATHWAY	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
PID_ERB_GENOMIC_PATHWAY	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
PID_INTEGRIN2_PATHWAY	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_ACTIVATION_OF_C3_AND_C5	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_COMPLEMENT_CASCADE	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	0.692066329063648	0.912243074173369	0.00623799876647448	-0.652829948430636	-0.871032664074363	1	F8
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	0.692066329063648	0.912243074173369	0.00623799876647448	-0.652829948430636	-0.871032664074363	1	F8
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS_	0.525666424746474	0.912243074173369	0.00754014475872763	-0.652871514071056	-0.995773342839001	2	F12 F8
REACTOME_DISEASE	0.596040519200401	0.912243074173369	0.00681446273287969	-0.543057657587721	-0.93160262197135	3	F12 F8
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.0355509899893246	0.248856929925272	0.0340406583797553	0.981727892022665	1.30732462769182	1	F3
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE_	0.632852807283763	0.912243074173369	0.00644755966318001	-0.465497101749028	-0.876223997312252	4	F5
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.692066329063648	0.912243074173369	0.00623799876647448	-0.652829948430636	-0.871032664074363	1	F8
REACTOME_GPCR_LIGAND_BINDING	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_HEMOSTASIS	0.632852807283763	0.912243074173369	0.00644755966318001	-0.465497101749028	-0.876223997312252	4	F5
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_INFECTIOUS_DISEASE	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
REACTOME_INNATE_IMMUNE_SYSTEM	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.525666424746474	0.912243074173369	0.00754014475872763	-0.652871514071056	-0.995773342839001	2	F12 F8
REACTOME_LEISHMANIA_INFECTION	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_MEMBRANE_TRAFFICKING	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_NEUTROPHIL_DEGRANULATION	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.0355509899893246	0.248856929925272	0.0340406583797553	0.981727892022665	1.30732462769182	1	F3
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION_	0.0355509899893246	0.248856929925272	0.0340406583797553	0.981727892022665	1.30732462769182	1	F3
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.0620883565073374	0.359872632287846	0.0249974490441926	-0.822149059905317	-1.41037734972986	3	F5
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS_	0.0162805751162198	0.248856929925272	0.0498835758411895	-0.946718276579106	-1.44395459547244	2	F5
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_SIGNALING_BY_GPCR	0.912243074173369	0.912243074173369	0.00494945446267043	-0.542496975870631	-0.72382185786792	1	C3
REACTOME_SIGNALING_BY_NTRKS	0.0355509899893246	0.248856929925272	0.0340406583797553	0.981727892022665	1.30732462769182	1	F3
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.0355509899893246	0.248856929925272	0.0340406583797553	0.981727892022665	1.30732462769182	1	F3
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.107961789686354	0.359872632287846	0.018904403472116	-0.858450089477851	-1.30932610297156	2	F5
WP_ALLOGRAFT_REJECTION	0.526313724720975	0.912243074173369	0.00753380780647002	-0.652637653957538	-0.99541665448306	2	C2
WP_BLOOD_CLOTTING_CASCADE	0.632852807283763	0.912243074173369	0.00644755966318001	-0.465497101749028	-0.876223997312252	4	F5
