	R7	R8	R9	R1	R2	R3
Gnai3	4568	4521	4546	3387	3681	3920
Pbsn	0	0	0	0	0	0
Cdc45	903	810	871	712	803	898
H19	18	20	4	8	25	18
Scml2	0	0	0	0	0	0
Apoh	0	3	0	1	1	0
Narf	761	783	722	693	666	652
Cav2	1702	1627	1596	1468	1881	1831
Klf6	3427	3285	3439	2937	2321	2404
Scmh1	735	720	722	755	617	623
Cox5a	1320	1322	1263	1211	1104	1165
Tbx2	91	85	50	45	58	53
Tbx4	0	0	0	0	0	0
Zfy2	0	0	0	0	0	0
Ngfr	5	3	1	95	5	4
Wnt3	0	0	0	1	0	0
Wnt9a	631	494	503	162	446	543
Fer	626	613	591	410	413	456
Xpo6	1432	1361	1367	1399	1162	1230
Tfe3	929	961	982	1220	731	745
Axin2	0	0	0	0	0	0
Brat1	317	324	318	324	259	263
Gna12	1064	926	984	1042	850	804
Slc22a18	17	21	20	42	14	13
Itgb2l	0	0	0	0	0	0
Igsf5	0	0	0	0	0	0
Pih1d2	11	17	7	15	12	16
Dlat	2459	2388	2551	2037	2199	2312
Sdhd	2167	2090	2049	1360	2005	1984
Fgf23	0	0	0	0	0	0
Fgf6	0	0	0	0	0	0
Ccnd2	2029	1925	1932	1997	1268	1323
Gpr107	1122	985	1033	873	716	749
Nalcn	0	0	0	0	0	0
Btbd17	0	0	0	2	0	1
Slfn4	0	0	0	3	0	0
Th	0	0	0	0	0	0
Ins2	0	0	0	0	0	0
Scnn1g	0	1	0	1	1	0
Drp2	23	27	15	20	16	27
Tspan32	2	1	4	1	2	1
Lhx2	0	0	1	5	0	0
Clec2g	0	0	0	0	0	0
Gmpr	45	46	39	10	51	55
Glra1	0	0	1	0	0	0
Mid2	598	674	555	445	420	472
Trim25	4747	4378	4313	3480	2552	2812
Dgke	257	249	254	208	144	128
Scpep1	2851	2789	2836	3930	2629	2579
Mnt	893	924	935	1007	669	729
Itgb2	900	847	755	1919	1510	1530
Hddc2	453	502	468	534	475	490
Tpd52l1	608	527	524	741	438	430
Pemt	27	27	35	48	36	36
Cdh1	14367	12975	13365	10183	9182	9057
Cdh4	0	0	0	0	0	0
Ckmt1	4	0	0	0	0	0
Bcl6b	0	2	0	4	0	1
Clec10a	0	0	0	0	0	0
Alox12	0	0	0	1	0	0
Comt	1479	1474	1390	1747	1288	1261
Rtca	685	689	696	593	606	631
Dbt	158	145	157	369	167	174
Dazap2	2114	2166	2182	1837	2003	2091
Mcts1	355	330	336	292	302	324
Rem1	0	0	1	0	0	1
Rnf17	0	0	0	0	0	0
Trappc10	1021	1013	1018	890	806	740
Ccm2	691	696	652	888	694	684
Wap	0	0	0	0	0	0
Tbrg4	845	840	882	797	670	687
Tmprss2	20	20	15	5	10	14
Mx1	21	10	8	26	7	0
Fap	2	0	5	0	1	3
Gcg	0	0	0	0	0	0
Ndufa9	976	946	937	822	882	812
Egfl6	0	0	0	0	1	0
Lck	82	72	78	60	48	53
Tssk3	0	0	1	0	0	0
Cttnbp2	0	0	0	0	0	0
Galnt1	1384	1435	1353	2289	1670	1648
Myf5	0	0	0	0	0	0
Mkrn2	527	534	513	425	398	384
Pparg	1	1	2	3	0	4
Raf1	634	635	654	565	512	547
Septin1	7	9	9	14	11	13
Pdgfb	1948	1895	1895	996	1920	2008
Acvrl1	33	23	28	16	39	29
Tamalin	302	305	279	325	179	205
Acvr1b	412	413	386	408	324	295
Tom1l2	1047	1008	977	1232	638	659
Gpa33	2756	2728	2690	5735	2184	2118
Zfp385a	272	305	281	228	197	228
Itga5	1604	1500	1491	946	1099	1153
Gabra2	0	0	0	0	0	0
Wdr77	380	346	378	352	349	335
Adora3	0	0	0	0	0	0
Atp5pb	3006	2955	2946	2768	3056	2969
Sox9	1100	1157	1205	1214	691	717
Hnrnpd	2343	2488	2606	1722	2282	2248
Dynlt1c	87	72	79	164	86	94
C1d	520	525	505	404	494	522
Gm2a	1599	1467	1397	1366	1205	1210
Krit1	518	560	525	454	375	456
Clcn4	221	224	231	231	226	262
Vmn2r88	0	0	0	0	0	0
Grm6	0	0	0	0	0	0
Sema4f	53	54	32	25	32	24
Hk2	1304	1179	1175	3247	1563	1533
Myo18a	4480	4166	3930	5099	3255	3553
Sez6	0	0	0	0	0	0
Haao	0	0	0	0	2	1
Cd52	0	0	0	0	1	0
Abhd15	12	11	12	9	8	5
Hoxb6	1	0	0	0	1	0
Loxl3	247	222	198	368	249	265
Tcl1b5	0	0	0	0	0	0
Btn1a1	166	205	230	163	87	101
Kat2b	760	752	684	717	599	653
Rab5b	2206	2182	2140	1504	1634	1603
Cryba1	0	2	0	1	2	0
Dnmt3l	0	0	0	0	0	0
Aire	10	10	4	10	19	13
Icosl	197	180	164	110	127	176
Spg7	1733	1741	1646	1782	1782	1820
Sult5a1	0	0	0	2	1	1
Rpl13	13971	13702	13297	13473	13595	14024
Chmp1a	1691	1670	1672	1561	1133	1154
Rpa1	3437	3384	3356	2235	3054	2920
Serpinf1	14	13	10	9	15	6
Tubgcp3	1295	1274	1236	1108	1057	1113
