	R10	R11	R12	R1	R2	R3
Gnai3	3255	3522	3963	3387	3681	3920
Pbsn	0	0	0	0	0	0
Cdc45	714	774	922	712	803	898
H19	49	21	25	8	25	18
Scml2	0	0	0	0	0	0
Apoh	0	0	1	1	1	0
Narf	586	600	695	693	666	652
Cav2	1962	1600	2055	1468	1881	1831
Klf6	2179	2401	2813	2937	2321	2404
Scmh1	509	609	678	755	617	623
Cox5a	1026	903	1284	1211	1104	1165
Tbx2	49	51	67	45	58	53
Tbx4	0	0	0	0	0	0
Zfy2	0	0	0	0	0	0
Ngfr	6	4	6	95	5	4
Wnt3	0	0	0	1	0	0
Wnt9a	534	433	485	162	446	543
Fer	371	459	430	410	413	456
Xpo6	848	1201	1271	1399	1162	1230
Tfe3	671	763	842	1220	731	745
Axin2	0	1	0	0	0	0
Brat1	226	200	255	324	259	263
Gna12	582	749	857	1042	850	804
Slc22a18	33	27	19	42	14	13
Itgb2l	0	0	0	0	0	0
Igsf5	0	0	0	0	0	0
Pih1d2	9	14	14	15	12	16
Dlat	1744	1923	2426	2037	2199	2312
Sdhd	1888	1352	2139	1360	2005	1984
Fgf23	0	0	0	0	0	0
Fgf6	0	0	0	0	0	0
Ccnd2	1052	1342	1410	1997	1268	1323
Gpr107	728	735	806	873	716	749
Nalcn	0	0	0	0	0	0
Btbd17	0	1	0	2	0	1
Slfn4	0	1	1	3	0	0
Th	0	0	0	0	0	0
Ins2	0	0	0	0	0	0
Scnn1g	0	1	0	1	1	0
Drp2	18	26	25	20	16	27
Tspan32	0	1	5	1	2	1
Lhx2	0	3	0	5	0	0
Clec2g	0	0	0	0	0	0
Gmpr	64	36	53	10	51	55
Glra1	0	0	0	0	0	0
Mid2	408	504	469	445	420	472
Trim25	2380	2575	2763	3480	2552	2812
Dgke	113	151	149	208	144	128
Scpep1	2437	2248	2601	3930	2629	2579
Mnt	583	632	674	1007	669	729
Itgb2	1490	1408	1522	1919	1510	1530
Hddc2	415	431	544	534	475	490
